0,1,0.05
0,2,0.05
0,3,0.05
0,4,0.20
0,5,0.05
0,6,0.05
0,7,0.20
0,8,0.20
0,9,0.05
0,10,0.05
0,11,0.20
0,12,0.05
0,13,0.05
0,14,0.05
0,15,0.05
0,16,0.05
0,17,0.05
0,18,0.05
0,19,0.05
0,20,0.05
0,25,0.05
0,28,0.05
0,30,0.05
0,32,0.20
0,36,0.05
0,38,0.05
0,41,0.05
0,43,0.05
0,47,0.05
0,48,0.20
0,54,0.05
0,56,0.05
0,57,0.05
0,60,0.05
0,64,0.05
0,65,0.05
0,69,0.05
0,72,0.05
0,84,0.20
0,85,0.05
0,87,0.05
0,93,0.05
0,96,0.05
0,97,0.05
0,98,0.05
0,101,0.05
0,108,0.05
0,112,0.05
0,123,0.05
0,124,0.20
0,128,0.20
0,130,0.05
0,134,0.20
0,139,0.20
0,149,0.05
0,160,0.20
0,161,0.05
0,165,0.20
0,168,0.05
0,173,0.05
0,183,0.05
0,185,0.05
0,189,0.05
0,191,0.05
0,207,0.05
0,213,0.05
0,224,0.05
0,225,0.05
0,232,0.05
0,238,0.05
0,248,0.05
0,254,0.20
0,255,0.05
0,258,0.05
0,267,0.05
0,276,0.05
0,285,0.05
0,286,0.05
0,304,0.05
0,311,0.05
0,317,0.05
0,322,0.05
0,325,0.05
0,344,0.05
0,354,0.20
0,398,0.05
0,417,0.05
0,426,0.05
0,440,0.20
0,454,0.05
0,477,0.05
0,486,0.05
0,500,0.05
0,503,0.05
0,505,0.20
0,509,0.05
0,513,0.05
0,516,0.20
0,562,0.05
0,568,0.05
0,572,0.05
0,605,0.20
0,606,0.05
0,607,0.20
0,608,0.05
0,611,0.05
0,655,0.20
0,657,0.05
0,671,0.05
0,694,0.05
0,715,0.05
0,722,0.05
0,732,0.05
0,787,0.05
0,788,0.20
0,793,0.05
0,796,0.05
0,803,0.05
0,810,0.05
0,811,0.05
0,812,0.20
0,814,0.05
0,868,0.05
0,873,0.05
0,886,0.05
0,895,0.05
0,910,0.05
0,916,0.05
0,920,0.20
0,935,0.05
0,969,0.05
0,987,0.05
1,0,0.05
1,2,0.05
1,3,0.20
1,4,0.05
1,5,0.20
1,6,0.05
1,7,0.05
1,8,0.05
1,9,0.05
1,10,0.05
1,11,0.05
1,12,0.05
1,13,0.05
1,14,0.05
1,15,0.05
1,16,0.05
1,17,0.20
1,18,0.05
1,19,0.05
1,20,0.05
1,31,0.05
1,34,0.05
1,47,0.05
1,49,0.20
1,58,0.05
1,66,0.05
1,67,0.05
1,75,0.20
1,85,0.05
1,91,0.05
1,95,0.05
1,100,0.05
1,117,0.05
1,139,0.05
1,154,0.05
1,158,0.20
1,161,0.20
1,175,0.05
1,189,0.20
1,207,0.20
1,212,0.05
1,214,0.05
1,234,0.05
1,237,0.20
1,242,0.05
1,245,0.05
1,248,0.05
1,249,0.20
1,250,0.05
1,255,0.05
1,259,0.20
1,262,0.20
1,266,0.20
1,279,0.20
1,306,0.05
1,315,0.20
1,317,0.05
1,319,0.20
1,332,0.05
1,366,0.05
1,371,0.05
1,374,0.20
1,401,0.20
1,409,0.05
1,416,0.05
1,418,0.05
1,422,0.05
1,424,0.05
1,435,0.05
1,451,0.05
1,539,0.20
1,543,0.05
1,547,0.05
1,560,0.20
1,562,0.05
1,610,0.05
1,615,0.05
1,649,0.05
1,672,0.20
1,677,0.05
1,678,0.05
1,679,0.05
1,716,0.05
1,718,0.05
1,721,0.05
1,723,0.20
1,729,0.05
1,732,0.05
1,738,0.05
1,762,0.05
1,809,0.05
1,826,0.05
1,836,0.20
1,856,0.05
1,860,0.05
1,863,0.05
1,869,0.05
1,870,0.05
1,894,0.05
1,909,0.20
1,967,0.20
1,973,0.20
2,0,0.05
2,1,0.05
2,3,0.05
2,4,0.05
2,5,0.05
2,6,0.05
2,7,0.20
2,8,0.05
2,9,0.05
2,10,0.05
2,11,0.05
2,12,0.05
2,13,0.05
2,14,0.05
2,15,0.05
2,16,0.05
2,17,0.05
2,18,0.05
2,19,0.20
2,20,0.20
2,26,0.05
2,29,0.20
2,30,0.05
2,33,0.05
2,38,0.05
2,43,0.05
2,44,0.05
2,45,0.05
2,47,0.05
2,49,0.05
2,50,0.20
2,56,0.05
2,60,0.05
2,64,0.05
2,77,0.05
2,80,0.05
2,88,0.05
2,89,0.05
2,101,0.05
2,102,0.05
2,103,0.05
2,108,0.05
2,118,0.05
2,126,0.05
2,148,0.05
2,153,0.05
2,155,0.05
2,163,0.05
2,168,0.05
2,179,0.20
2,183,0.05
2,192,0.05
2,197,0.05
2,246,0.05
2,250,0.20
2,260,0.05
2,272,0.20
2,287,0.05
2,298,0.05
2,304,0.05
2,310,0.05
2,347,0.20
2,386,0.05
2,401,0.05
2,411,0.05
2,416,0.05
2,432,0.05
2,436,0.05
2,439,0.05
2,444,0.20
2,460,0.05
2,465,0.05
2,506,0.05
2,521,0.20
2,553,0.05
2,559,0.05
2,561,0.05
2,563,0.05
2,567,0.05
2,587,0.05
2,611,0.05
2,614,0.05
2,623,0.05
2,626,0.05
